FindingId,Title,Status,OwnerLayer,Resolution,RegressionEvidence,CompatibilityImpact,ResidualRisk
F-01,Package provenance and metadata DSL injection,Fixed,FeatureSdk / LanguageSdk / Wist LanguagePack,Opaque registry identity; exact contribution/module sets; no metadata DSL execution,Adversarial provenance and no-legacy tests,Breaking alpha surface only,Low
F-02,Condition feature granularity and backend parity,Fixed,Wist LanguagePack,Typed feature/contribution split; interpreter/CIL parity,Language SDK and backend parity tests,None beyond typed IDs,Low
F-03,Silent module-contract warning mode,Fixed,ModuleContracts,Strict/Warn/Off validated; Warn requires observable sink,Module contract profile tests,Silent warning configuration rejected,Low
F-04,Reentrant dispose self-deadlock,Fixed,Runtime lifecycle,State machine rejects owner reentrant dispose; external dispose waits,Lifecycle and stress tests,Failure replaces hang,Low
F-05,Forged executable LanguagePlan,Fixed,LanguageSdk / Runtime,Compiler-owned canonical plan and verifier,Forgery/mutation tests,Direct construction removed,Low
F-06,Order-dependent extensible enum registry,Fixed,BasicTypesExtensions,Scoped stable catalog; EnumGenerator removed,Order/catalog tests,Insertion-index API removed,Low
F-07,Reflection declaration-order activation,Fixed,Runtime activation,Exact signatures and exact manifest activation,Activation tests,Ambiguous/incomplete manifests rejected,Low
F-08,Silent interpreter conversion fallback,Fixed,Core conversion,Shared conversion classifier for interpreter/CIL,Conversion parity tests,Invalid conversion now fails,Low
F-09,SetAndList uniqueness violation,Fixed,BasicTypesExtensions,Unique add/remove/re-add semantics,Collection regression tests,Bug-compatible duplicates removed,Low
F-10,Generic Wist parity gap,Fixed,Wist LanguagePack,21 selectable modules and 7 optimizers selection-equivalent; ProgramStructure infrastructure-owned; 2 backends and 7 presets executable-equivalent,Typed feature mapping gate and executable shipped-preset parity corpus,Compatibility adapter removed; canonical dialect runtime retained as owner,Low
F-11,Static-state guardrail coverage,Fixed,Architecture tests,Roslyn production-tree analysis with bounded exceptions,Static-state guardrail tests,New mutable statics rejected,Low
F-12,Warning-only legacy API governance,Fixed,Public API,Compatibility surface removed instead of indefinitely deprecated,No-legacy source/API gate,Intentional breaking alpha release,Medium
F-13,Typed profile text round-trip,Fixed,Wist runtime composition,Direct typed DialectDefinitionSlice to DialectBuildPlan,Runtime path guardrail and preset tests,Text adapter removed,Low
F-14,AIR verifier masks implementation defects,Fixed,ModuleContracts,Domain diagnostics separated from internal failures,AIR verifier tests,Internal defects fail closed,Low
