id,original_severity,original_status,remediation_status,canonical_owner,verification
WIST-BR-001,High,confirmed,Closed,Public facade/backend selection,Public backend operation matrix
WIST-BR-002,High,confirmed,Closed,Facade configuration/runtime selection,Preset/backend create-time matrix
WIST-BR-003,High,confirmed,Closed,Preset composition/result lowering,Exact value/type/delegate parity
WIST-BR-004,High,confirmed,Closed,Runtime activation/assembly identity,Hostile preload and isolated root tests
WIST-BR-005,High,confirmed,Closed,Public API architecture/policy,Exported surface regression
WIST-BR-006,High,confirmed,Closed,Package integrity/release gate,Four seeded package mutants
WIST-BR-007,High,confirmed,Closed,Release orchestration,Continuous local clean-consumer release run
WIST-BR-008,Medium,confirmed,Closed,API/package compatibility,74-entry machine-checked ledger
WIST-BR-009,High,confirmed,Closed,Assembly versioning/runtime identity,Generation-1 incompatible checkout mutant
WIST-BR-010,Medium,confirmed,Closed,Release artifact integrity,Detached-root verification and mutants
WIST-BR-011,Medium,needs verification,Closed,Runtime manifest authority,Exact manifest hashes and alias-drift mutant
WIST-BR-012,Medium,needs verification,Closed,Binder/type policy,Unknown identifier/type negative tests
WIST-BR-013,Low-Medium,needs verification,Closed,IR/binder deterministic identity,Independent-context determinism tests
WIST-BR-014,Medium,confirmed,Closed,Preset catalog/package content,Exact nine-preset set equality
