symbol_or_asset,old,new,classification,intent,migration,verification
WistBackend,public enum Compiler/Interpreter,removed; BackendId string,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,"Use canonical BackendId values ""cil"" or ""interpreter""; invalid values and unsupported preset/backend pairs fail during WistEngine.Create.",Tools/check-wist-api-compatibility.py
WistPreset,public enum SafeFormulas/BusinessRules/FullTrusted,removed; WistDialectSource,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Use WistDialectSource or WistEngineOptions.FromPresetId with one of the catalogued shipped preset IDs.,Tools/check-wist-api-compatibility.py
WistEngine.CreateSafeFormulas,public factory,removed; two differently named factories remain,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,"Use WistEngine.CreateRestrictedArithmetic, WistEngine.CreateFullNative, or WistEngine.Create(WistEngineOptions.FromPresetId(...)).",Tools/check-wist-api-compatibility.py
WistEngine.CreateBusinessRules,public factory,removed; two differently named factories remain,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,"Use WistEngine.CreateRestrictedArithmetic, WistEngine.CreateFullNative, or WistEngine.Create(WistEngineOptions.FromPresetId(...)).",Tools/check-wist-api-compatibility.py
WistEngine.CreateTrusted,public factory,removed; two differently named factories remain,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,"Use WistEngine.CreateRestrictedArithmetic, WistEngine.CreateFullNative, or WistEngine.Create(WistEngineOptions.FromPresetId(...)).",Tools/check-wist-api-compatibility.py
WistEngine.CompileFunc arity 1,public typed wrapper,removed; Compile<TDelegate>/TryCompile<TDelegate>,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Use Compile<TDelegate>/TryCompile<TDelegate> and invoke WistProgram<TDelegate>.CompiledDelegate.,Tools/check-wist-api-compatibility.py
WistEngine.CompileFunc arity 2,public typed wrapper,removed; Compile<TDelegate>/TryCompile<TDelegate>,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Use Compile<TDelegate>/TryCompile<TDelegate> and invoke WistProgram<TDelegate>.CompiledDelegate.,Tools/check-wist-api-compatibility.py
WistEngine.CompileFunc arity 3,public typed wrapper,removed; Compile<TDelegate>/TryCompile<TDelegate>,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Use Compile<TDelegate>/TryCompile<TDelegate> and invoke WistProgram<TDelegate>.CompiledDelegate.,Tools/check-wist-api-compatibility.py
WistFunc arity 1,public delegate-like wrapper,removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Use Compile<TDelegate>/TryCompile<TDelegate> and invoke WistProgram<TDelegate>.CompiledDelegate.,Tools/check-wist-api-compatibility.py
WistFunc arity 2,public delegate-like wrapper,removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Use Compile<TDelegate>/TryCompile<TDelegate> and invoke WistProgram<TDelegate>.CompiledDelegate.,Tools/check-wist-api-compatibility.py
WistFunc arity 3,public delegate-like wrapper,removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Use Compile<TDelegate>/TryCompile<TDelegate> and invoke WistProgram<TDelegate>.CompiledDelegate.,Tools/check-wist-api-compatibility.py
WistEngineOptions.Backend,WistBackend enum,BackendId string,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,"Use canonical BackendId values ""cil"" or ""interpreter""; invalid values and unsupported preset/backend pairs fail during WistEngine.Create.",Tools/check-wist-api-compatibility.py
WistEngineOptions.Preset,WistPreset enum,DialectSource,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Use WistDialectSource or WistEngineOptions.FromPresetId with one of the catalogued shipped preset IDs.,Tools/check-wist-api-compatibility.py
WistEngineOptions.EnableCompilationCache,public bool,removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,No facade cache contract is provided in alpha.2; cache WistProgram instances at the host layer when ownership and invalidation are explicit.,Tools/check-wist-api-compatibility.py
WistValidationResult.Message,public string,removed; Diagnostics collection added,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Read Diagnostics and Exception; do not parse one aggregated message.,Tools/check-wist-api-compatibility.py
WistEngine.Compile,absent,new WistProgram<TDelegate> API,intentional_addition,Reviewed and intentional for the alpha.2 facade/runtime boundary.,New API; no migration required.,Tools/check-wist-api-compatibility.py
WistEngine.TryCompile,absent,new structured result,intentional_addition,Reviewed and intentional for the alpha.2 facade/runtime boundary.,New API; no migration required.,Tools/check-wist-api-compatibility.py
Facade compile assets,54 lib assemblies visible to compiler,only ref/net10.0/UniversalToolchain.Wist.dll,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Consume only the UniversalToolchain.Wist facade compile asset; remove direct references to runtime implementation DLLs.,Tools/check-wist-api-compatibility.py
compile asset AbstractIrConverters.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset AbstractIrExtensions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset ArithmeticModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset AssemblyFinder.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset BasicCilCompiler.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset BasicCodeTranslator.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset BasicCore.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset BasicInterpreter.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset BasicLexer.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset BasicParser.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset BasicTypesExtensions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset BytecodeDynamicMethodsCompiler.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset CSharpInteropModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset CommentsModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset CommonExceptions.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset ConditionsModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset DotnetHelper.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset DynamicMethodCalling.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset DynamicMethodWrapper.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset EqualityModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset ExceptionsManager.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset FunctionCallsModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset GenericMath.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
compile asset IdentifierModule.dll,available as package compile asset,runtime-only implementation dependency or removed,intentional_break,Reviewed and intentional for the alpha.2 facade/runtime boundary.,Reference UniversalToolchain.Wist only; implementation assemblies are runtime-private. Move direct implementation usage to a separately versioned advanced integration package or source reference.,Tools/check-wist-api-compatibility.py
