change,symbol,classification,intent,migration,verification
added,property System.Nullable<UniversalToolchain.Wist.WistFailureKind> UniversalToolchain.Wist.WistCompileResult<TDelegate>.FailureKind { get; },intentional_addition,Expose expected compile failure category,Read FailureKind when branching on failed TryCompile results,Wist public API baseline and hardening tests
added,type enum UniversalToolchain.Wist.WistDiagnosticExposure,intentional_addition,Expose consumer diagnostic privacy policy,Use Developer for legacy behavior or Safe for consumer-safe expected failures,Wist public API baseline and safe-diagnostic tests
added,field UniversalToolchain.Wist.WistDiagnosticExposure UniversalToolchain.Wist.WistDiagnosticExposure.Developer = 1,intentional_addition,Preserve legacy developer diagnostics mode,No migration because this is the default,Wist public API baseline and developer-diagnostic tests
added,field UniversalToolchain.Wist.WistDiagnosticExposure UniversalToolchain.Wist.WistDiagnosticExposure.Safe = 0,intentional_addition,Provide bounded consumer-safe diagnostics,Opt into Safe for untrusted consumer-facing validation,Wist public API baseline and safe-diagnostic tests
added,field System.Int32 UniversalToolchain.Wist.WistDiagnosticExposure.value__,intentional_addition,Enum runtime representation,No migration,Wist public API baseline
added,property UniversalToolchain.Wist.WistDiagnosticExposure UniversalToolchain.Wist.WistEngineOptions.DiagnosticExposure { get; set; },intentional_addition,Configure diagnostic exposure at facade construction,Set Safe when raw exception objects must not escape expected failures,Wist public API baseline and engine hardening tests
added,property UniversalToolchain.Wist.WistSourceRetentionPolicy UniversalToolchain.Wist.WistEngineOptions.SourceRetention { get; set; },intentional_addition,Configure durable source retention,Set HashAndIdentity or None for sensitive formulas,Wist public API baseline and source-retention tests
added,type enum UniversalToolchain.Wist.WistFailureKind,intentional_addition,Expose typed expected failure taxonomy,Read only on failed validation or TryCompile results,Wist public API baseline and failure-taxonomy tests
added,field UniversalToolchain.Wist.WistFailureKind UniversalToolchain.Wist.WistFailureKind.Infrastructure = 3,intentional_addition,Name infrastructure faults in taxonomy,Infrastructure faults remain fail-fast,Wist public API baseline and failure-taxonomy tests
added,field UniversalToolchain.Wist.WistFailureKind UniversalToolchain.Wist.WistFailureKind.Internal = 4,intentional_addition,Name framework invariant faults in taxonomy,Internal faults remain fail-fast,Wist public API baseline and invariant-failure tests
added,field UniversalToolchain.Wist.WistFailureKind UniversalToolchain.Wist.WistFailureKind.Policy = 1,intentional_addition,Classify host policy rejection,Handle as expected structured failure,Wist public API baseline and resource-policy tests
added,field UniversalToolchain.Wist.WistFailureKind UniversalToolchain.Wist.WistFailureKind.Unsupported = 2,intentional_addition,Classify unsupported requested routes,Handle as expected structured failure,Wist public API baseline and route tests
added,field UniversalToolchain.Wist.WistFailureKind UniversalToolchain.Wist.WistFailureKind.UserInput = 0,intentional_addition,Classify invalid user formulas,Handle as expected structured failure,Wist public API baseline and invalid-formula tests
added,field System.Int32 UniversalToolchain.Wist.WistFailureKind.value__,intentional_addition,Enum runtime representation,No migration,Wist public API baseline
added,property System.Int32 UniversalToolchain.Wist.WistProgramMetadata.SourceLength { get; },intentional_addition,Retain non-secret source identity length,No migration,Wist public API baseline and source-retention tests
added,property UniversalToolchain.Wist.WistSourceRetentionPolicy UniversalToolchain.Wist.WistProgramMetadata.SourceRetention { get; },intentional_addition,Expose applied source-retention policy,No migration,Wist public API baseline and source-retention tests
added,property System.String UniversalToolchain.Wist.WistProgramMetadata.SourceSha256 { get; },intentional_addition,Expose source identity hash when policy permits,Do not treat the hash as secret scrubbing,Wist public API baseline and source-retention tests
added,type enum UniversalToolchain.Wist.WistSourceRetentionPolicy,intentional_addition,Expose durable source-retention policy,Default Full preserves legacy behavior,Wist public API baseline and source-retention tests
added,field UniversalToolchain.Wist.WistSourceRetentionPolicy UniversalToolchain.Wist.WistSourceRetentionPolicy.Full = 0,intentional_addition,Preserve full-source compatibility mode,No migration because this is the default,Wist public API baseline and source-retention tests
added,field UniversalToolchain.Wist.WistSourceRetentionPolicy UniversalToolchain.Wist.WistSourceRetentionPolicy.HashAndIdentity = 1,intentional_addition,Retain source hash and identity without raw text,Opt in for sensitive formulas when a stable hash is acceptable,Wist public API baseline and source-retention tests
added,field UniversalToolchain.Wist.WistSourceRetentionPolicy UniversalToolchain.Wist.WistSourceRetentionPolicy.None = 2,intentional_addition,Retain no raw source or source hash,Opt in when durable source identity is not required,Wist public API baseline and source-retention tests
added,field System.Int32 UniversalToolchain.Wist.WistSourceRetentionPolicy.value__,intentional_addition,Enum runtime representation,No migration,Wist public API baseline
added,property System.Nullable<UniversalToolchain.Wist.WistFailureKind> UniversalToolchain.Wist.WistValidationResult.FailureKind { get; },intentional_addition,Expose expected validation failure category,Read FailureKind when IsValid is false,Wist public API baseline and validation-taxonomy tests
